"callret-0"	"c1l"	"c2l"	"c3l"	"c4l"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Adoption of Project Result"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Adoption of Project Result"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Analysis and Assessment of the Current HIS State"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Analysis and Assessment of the Current HIS State"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Change Management"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Change Management"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continuous HIS Auditing"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continuous HIS Auditing"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Data Protection"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Data Protection"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Establish and Promote the Strategic Information Management Plan"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Establish and Promote the Strategic Information Management Plan"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Execution of an IT Evaluation Study"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Execution of an IT Evaluation Study"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Failure Management"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Failure Management"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of the Expectations of Different Stakeholders"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of the Expectations of Different Stakeholders"
"What uses Application Component?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Administration"
"What uses Application Component?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Administration"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Adoption of Project Result"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Adoption of Project Result"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Approval to Strategic Information Management Plan"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Approval to Strategic Information Management Plan"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continuous HIS Auditing"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continuous HIS Auditing"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Delivering of Customer-Centered Services"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Delivering of Customer-Centered Services"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Establish and Promote the Strategic Information Management Plan"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Establish and Promote the Strategic Information Management Plan"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Execution of an IT Evaluation Study"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Execution of an IT Evaluation Study"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Failure Management"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Failure Management"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of the Expectations of Different Stakeholders"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of the Expectations of Different Stakeholders"
"What uses Architecture of an Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Function"
"What uses Architecture of an Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Function"
"What uses Case Mix Index?"	"Controlling"	"Administrative Function"	"Management"	"Financial Controlling"
"What uses Case Mix Index?"	"Controlling"	"Administrative Function"	"Management Function"	"Financial Controlling"
"What uses ISO 9001?"	"HIS Certification"	"Information Management"	"Certification by CCHIT"	"Certification by EuroRec"
"What uses ISO 9001?"	"HIS Certification"	"Information Management Function"	"Certification by CCHIT"	"Certification by EuroRec"
"What uses ISO 9001?"	"HIS Certification"	"Certification by CCHIT"	"Certification by CCHIT"	"Certification by ISO"
"What uses Joint Commission’s Certification Program?"	"HIS Certification"	"Certification by CCHIT"	"Certification by CCHIT"	"Certification by ISO"
"What uses Malcolm Baldrige National Quality Award?"	"HIS Certification"	"Information Management"	"Certification by CCHIT"	"Certification by EuroRec"
"What uses Malcolm Baldrige National Quality Award?"	"HIS Certification"	"Information Management Function"	"Certification by CCHIT"	"Certification by EuroRec"
"What uses Malcolm Baldrige National Quality Award?"	"HIS Certification"	"Certification by CCHIT"	"Certification by CCHIT"	"Certification by ISO"
"What uses Physical Data Processing System?"	"Information Management"	"Reporting to the CEO"	"Acquire and Implement"	"Ad Hoc Monitoring"
"What uses Physical Data Processing System?"	"Information Management Function"	"Reporting to the CEO"	"Acquire and Implement"	"Ad Hoc Monitoring"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continuous Quality Improvement Process"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continuous Quality Improvement Process"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Deployment of Strategic Information Management Plan"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Deployment of Strategic Information Management Plan"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Establish and Promote the Strategic Information Management Plan"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Establish and Promote the Strategic Information Management Plan"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Execution of an IT Evaluation Study"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Execution of an IT Evaluation Study"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Administration"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Administration"
"What uses Physical Data Processing System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Function"
"What uses Physical Data Processing System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Function"
"What uses Procedure Class?"	"Controlling"	"Administrative Function"	"Management"	"Financial Controlling"
"What uses Procedure Class?"	"Controlling"	"Administrative Function"	"Management Function"	"Financial Controlling"
"What updates IT Evaluation Study?"	"IT Evaluation Study Management and Execution"	"Execution of a Quantitative Study"	"Execution of an IT Evaluation Study"	"First Study Design"
"What updates Hospital Information System?"	"Information Management"	"Reporting to the CEO"	"Acquire and Implement"	"Ad Hoc Monitoring"
"What updates Hospital Information System?"	"Information Management Function"	"Reporting to the CEO"	"Acquire and Implement"	"Ad Hoc Monitoring"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Analysis and Assessment of the Current HIS State"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Analysis and Assessment of the Current HIS State"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Change Management"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Change Management"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continuous HIS Auditing"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continuous HIS Auditing"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continuous Quality Improvement Process"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continuous Quality Improvement Process"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Data Protection"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Data Protection"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Enterprise Function"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Enterprise Function"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Establish and Promote the Strategic Information Management Plan"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Establish and Promote the Strategic Information Management Plan"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Execution of an IT Evaluation Study"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Execution of an IT Evaluation Study"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of Laws relevant to Information Management"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of Laws relevant to Information Management"
"What updates Hospital Information System?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of the Expectations of Different Stakeholders"
"What updates Hospital Information System?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of the Expectations of Different Stakeholders"
"What updates Key Performance Indicator?"	"Controlling"	"Administrative Function"	"Management"	"Financial Controlling"
"What updates Key Performance Indicator?"	"Controlling"	"Administrative Function"	"Management Function"	"Financial Controlling"
"What entity type component DICOM File Format?"	"DICOM Standard"	"IHE"	"Communication Standard"	"Data Integration"
"What entity type component DICOM Network Protocol?"	"DICOM Standard"	"IHE"	"Communication Standard"	"Data Integration"
"What entity type component DICOM Service?"	"DICOM Standard"	"IHE"	"Communication Standard"	"Data Integration"
"What entity type component IHE Actor?"	"IHE Integration Profile"	"IHE Patient Demographics Query"	"IHE Transaction"	"Cross-Enterprise Document Sharing"
"What entity type component IHE Content Profile?"	"IHE Domain"	"IHE Integration Profile"	"IHE Technical Framework"	"Information Management Entity Type"
"What entity type component IHE Integration Profile?"	"Standard"	"Communication Standard"	"Communication Standard"	"HL7 Standard"
"What entity type component SOA Service?"	"SOA"	"3LGM²-S"	"Access Integration"	"Functional Integration"
"What entity type component UML Attribute?"	"UML Class"	"UML Class Diagram"	"UML Method"	"3LGM² Entity Type"
"What entity type component UML Attribute?"	"UML Class"	"UML Class Diagram"	"3LGM² Entity Type"	"3LGM² Location"
"What entity type component UML Attribute?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM²-M Communication Standard"
"What entity type component UML Attribute?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM²-M Message Type"
"What entity type component UML Attribute?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM² Organizational Unit"
"What entity type component UML Attribute?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM²-S Service"
"What entity type component UML Attribute?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM²-S Service Class"
"What entity type component UML Attribute?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM² Software Product"
"What entity type component UML Method?"	"UML Class"	"UML Class Diagram"	"3LGM² Entity Type"	"3LGM² Location"
"What entity type component UML Method?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM²-M Message Type"
"What entity type component UML Method?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM² Organizational Unit"
"What entity type component UML Method?"	"UML Class"	"3LGM² Entity Type"	"3LGM² Entity Type"	"3LGM² Transmitting Medium"
"What entity type component 3LGM² Domain Layer?"	"3LGM²"	"Transparency"	"UML Class Diagram"	"3LGM²-B"
"What entity type component 3LGM² Domain Layer?"	"3LGM²"	"Transparency"	"3LGM²-B"	"3LGM² Interlayer Relationship"
"What entity type component 3LGM² Domain Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Logical Tool Layer"
"What entity type component 3LGM² Domain Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Physical Tool Layer"
"What entity type component 3LGM² Domain Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Tool"
"What entity type component 3LGM² Interlayer Relationship?"	"3LGM²"	"Transparency"	"UML Class Diagram"	"3LGM²-B"
"What entity type component 3LGM² Interlayer Relationship?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Intralayer Relationship"
"What entity type component 3LGM² Interlayer Relationship?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM²-M"
"What entity type component 3LGM² Interlayer Relationship?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Physical Tool Layer"
"What entity type component 3LGM² Interlayer Relationship?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"Functional Metamodel"
"What entity type component 3LGM² Intralayer Relationship?"	"3LGM²"	"Transparency"	"UML Class Diagram"	"3LGM²-B"
"What entity type component 3LGM² Intralayer Relationship?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Interlayer Relationship"
"What entity type component 3LGM² Intralayer Relationship?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM²-M"
"What entity type component 3LGM² Intralayer Relationship?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Physical Tool Layer"
"What entity type component 3LGM² Intralayer Relationship?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Tool"
"What entity type component 3LGM² Logical Tool Layer?"	"3LGM²"	"Transparency"	"UML Class Diagram"	"3LGM²-B"
"What entity type component 3LGM² Logical Tool Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Interlayer Relationship"
"What entity type component 3LGM² Logical Tool Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"Functional Metamodel"
"What entity type component 3LGM² Physical Tool Layer?"	"3LGM²"	"Transparency"	"UML Class Diagram"	"3LGM²-B"
"What entity type component 3LGM² Physical Tool Layer?"	"3LGM²"	"Transparency"	"3LGM²-B"	"3LGM² Domain Layer"
"What entity type component 3LGM² Physical Tool Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Interlayer Relationship"
"What entity type component 3LGM² Physical Tool Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Logical Tool Layer"
"What entity type component 3LGM² Physical Tool Layer?"	"3LGM²"	"3LGM²-B"	"3LGM²-B"	"3LGM² Tool"
"What entity type component HL7 Event Description?"	"ADT"	"HL7 Message Header"	"HL7 Message Type"	"HL7 Patient Identification"
"What entity type component HL7 Event Description?"	"ADT"	"HL7 Message Header"	"HL7 Message Type"	"HL7 Patient Visit Information"
"What entity type component HL7 Message Header?"	"ADT"	"HL7 Event Description"	"HL7 Message Type"	"HL7 Patient Identification"
"What entity type component HL7 Patient Visit Information?"	"ADT"	"HL7 Event Description"	"HL7 Message Header"	"HL7 Message Type"
"What entity type component Integration Platform?"	"SOA"	"SOA Service"	"3LGM²-S"	"Access Integration"
"What entity type component Integration Platform?"	"SOA"	"3LGM²-S"	"3LGM²-S"	"DB1 Style"
"What entity type component Integration Platform?"	"SOA"	"3LGM²-S"	"3LGM²-S"	"Data Integration"
"What entity type component Integration Platform?"	"SOA"	"3LGM²-S"	"3LGM²-S"	"Functional Integration"
"What function component Execution of an IT Evaluation Study?"	"IT Evaluation Study Management and Execution"	"Ad Hoc Monitoring"	"Execution of a Quantitative Study"	"First Study Design"
"What function component Operational Information Management?"	"Information Management"	"Reporting to the CEO"	"Acquire and Implement"	"Ad Hoc Monitoring"
"What function component Operational Information Management?"	"Information Management Function"	"Reporting to the CEO"	"Acquire and Implement"	"Ad Hoc Monitoring"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Analysis and Assessment of the Current HIS State"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Analysis and Assessment of the Current HIS State"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Change Management"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Change Management"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Configuration Management"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Configuration Management"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continual Service Improvement"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continual Service Improvement"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continuous HIS Auditing"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continuous HIS Auditing"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Data Protection"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Data Protection"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Deployment of Strategic Information Management Plan"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Deployment of Strategic Information Management Plan"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Enterprise Function"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Enterprise Function"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Establish and Promote the Strategic Information Management Plan"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Establish and Promote the Strategic Information Management Plan"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Establishing Referential Integrity"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Establishing Referential Integrity"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Execution of an IT Evaluation Study"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Execution of an IT Evaluation Study"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of Laws relevant to Information Management"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of Laws relevant to Information Management"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of the Expectations of Different Stakeholders"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of the Expectations of Different Stakeholders"
"What function component Operational Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Administration"
"What function component Operational Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Administration"
"What function component Report and Publication of Study?"	"IT Evaluation Study Management and Execution"	"Ad Hoc Monitoring"	"Execution of a Quantitative Study"	"Execution of an IT Evaluation Study"
"What function component Strategic Information Management?"	"Information Management"	"Reporting to the CEO"	"Acquire and Implement"	"Ad Hoc Monitoring"
"What uses Therapeutic Procedure?"	"Controlling"	"Administrative Function"	"Management"	"Financial Controlling"
"What uses Therapeutic Procedure?"	"Controlling"	"Administrative Function"	"Management Function"	"Financial Controlling"
"What entity type component Study Participant?"	"Study"	"Clinical Trial"	"Evaluation Method"	"Field Study"
"What function component Strategic Information Management?"	"Information Management Function"	"Reporting to the CEO"	"Acquire and Implement"	"Ad Hoc Monitoring"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Adoption of Project Result"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Adoption of Project Result"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Analysis and Assessment of the Current HIS State"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Analysis and Assessment of the Current HIS State"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Approval to Strategic Information Management Plan"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Approval to Strategic Information Management Plan"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Configuration Management"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Configuration Management"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Creation of Strategic Information Management Plan"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Creation of Strategic Information Management Plan"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Data Protection"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Data Protection"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Delivering of Customer-Centered Services"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Delivering of Customer-Centered Services"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Designing Customer-Centered Services"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Designing Customer-Centered Services"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Enterprise Function"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Enterprise Function"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Establishing Referential Integrity"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Establishing Referential Integrity"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Execution of an IT Evaluation Study"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Execution of an IT Evaluation Study"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of Laws relevant to Information Management"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of Laws relevant to Information Management"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of the Expectations of Different Stakeholders"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Fulfillment of the Expectations of Different Stakeholders"
"What function component Strategic Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Function"
"What function component Strategic Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Function"
"What function component Study Exploration?"	"IT Evaluation Study Management and Execution"	"Ad Hoc Monitoring"	"Execution of a Quantitative Study"	"Execution of an IT Evaluation Study"
"What function component Study Exploration?"	"IT Evaluation Study Management and Execution"	"Ad Hoc Monitoring"	"Execution of a Quantitative Study"	"First Study Design"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Analysis and Assessment of the Current HIS State"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Analysis and Assessment of the Current HIS State"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Configuration Management"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Configuration Management"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continual Service Improvement"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continual Service Improvement"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continuous HIS Auditing"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continuous HIS Auditing"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Continuous Quality Improvement Process"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Continuous Quality Improvement Process"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Delivering of Customer-Centered Services"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Delivering of Customer-Centered Services"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Designing Customer-Centered Services"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Designing Customer-Centered Services"
"What function component Tactical Information Management?"	"Information Management"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Administration"
"What function component Tactical Information Management?"	"Information Management Function"	"Acquire and Implement"	"Acquire and Implement"	"Hospital Administration"
"What decreases Data Collection Effort?"	"Data Integration"	"Double Examination"	"Federated Database System"	"HL7 CDA"
"What decreases Data Collection Effort?"	"Data Integration"	"Double Examination"	"Federated Database System"	"ISO/IEEE 11073 Family of Standards"
"What increases Consistency?"	"Data Integration"	"Double Examination"	"Federated Database System"	"ISO/IEEE 11073 Family of Standards"
"What increases Quality of Data?"	"Data Integration"	"Double Examination"	"Federated Database System"	"HL7 CDA"
"What supports 3LGM² Enterprise Function?"	"3LGM² Application Component"	"3LGM² Communication Interface"	"3LGM² Computer-Based Application Component"	"3LGM² Logical Tool Layer"
"What supports 3LGM² Enterprise Function?"	"3LGM² Application Component"	"3LGM² Communication Interface"	"3LGM² Computer-Based Application Component"	"3LGM² Software Product"
"What supports Hospital Function?"	"Application Component"	"Heterogeneity of the HIS Architecture"	"Homogeneity of the HIS Architecture"	"Information Management Entity Type"
"What supports Hospital Function?"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Data Warehouse System"	"Dialysis Information System"
"What supports Hospital Function?"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Data Warehouse System"	"Digital Dictation System"
"What supports Hospital Function?"	"Computer-Based Application Component"	"Computerized Physician Order Entry System"	"Data Warehouse System"	"Information and Communication Technology"
"What uses Order?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Prophylaxis"
"What uses Patient?"	"Execution of Diagnostic and Therapeutic Procedures"	"Execution of Diagnostic Therapeutic and Nursing Procedures"	"Execution of Irradiation"	"Execution of Prophylaxis"
